iter	Passed	Remaining
0	137	137011
1	138	69139
2	139	46467
3	141	35119
4	143	28526
5	145	24048
6	146	20772
7	149	18545
8	151	16709
9	158	15649
10	160	14398
11	163	13450
12	164	12520
13	166	11724
14	167	11031
15	169	10451
16	171	9904
17	174	9503
18	177	9189
19	179	8789
20	180	8420
21	182	8101
22	183	7809
23	186	7580
24	188	7334
25	189	7102
26	190	6874
27	192	6667
28	193	6473
29	194	6297
30	196	6133
31	197	5977
32	198	5824
33	200	5686
34	201	5554
35	203	5443
36	204	5326
37	209	5310
38	211	5205
39	212	5108
40	214	5012
41	217	4961
42	221	4919
43	223	4849
44	225	4783
45	228	4737
46	232	4711
47	234	4650
48	237	4608
49	245	4665
50	247	4602
51	248	4535
52	251	4490
53	252	4426
54	254	4366
55	256	4319
56	258	4272
57	260	4234
58	262	4182
59	263	4133
60	264	4078
61	266	4028
62	267	3977
63	268	3927
64	269	3881
65	270	3834
66	273	3810
67	274	3761
68	277	3748
69	279	3712
70	282	3695
71	284	3668
72	286	3634
73	288	3604
74	289	3571
75	290	3535
76	292	3501
77	293	3466
78	294	3434
79	295	3403
80	298	3381
81	300	3358
82	302	3339
83	305	3326
84	306	3294
85	307	3266
86	308	3242
87	310	3220
88	312	3195
89	314	3175
90	316	3158
91	317	3137
92	320	3125
93	322	3111
94	324	3091
95	325	3068
96	327	3046
97	328	3026
98	330	3003
99	331	2980
100	332	2963
101	334	2942
102	335	2923
103	336	2903
104	338	2884
105	339	2866
106	341	2847
107	342	2828
108	343	2809
109	345	2792
110	346	2775
111	348	2761
112	349	2745
113	351	2728
114	353	2719
115	354	2701
116	356	2687
117	357	2670
118	358	2654
119	360	2645
120	362	2634
121	364	2626
122	366	2612
123	368	2600
124	369	2588
125	372	2583
126	374	2571
127	376	2562
128	377	2546
129	378	2530
130	379	2515
131	380	2502
132	381	2489
133	383	2475
134	383	2460
135	384	2444
136	385	2429
137	386	2413
138	387	2400
139	388	2388
140	390	2376
141	391	2363
142	392	2351
143	393	2340
144	395	2331
145	396	2319
146	397	2306
147	398	2294
148	399	2284
149	401	2272
150	402	2262
151	403	2251
152	404	2239
153	405	2228
154	406	2218
155	408	2209
156	409	2198
157	410	2188
158	411	2177
159	412	2168
160	414	2158
161	415	2148
162	416	2139
163	418	2131
164	419	2123
165	420	2113
166	422	2105
167	423	2096
168	424	2087
169	425	2079
170	427	2071
171	428	2064
172	430	2056
173	432	2054
174	434	2048
175	436	2043
176	437	2035
177	439	2028
178	440	2020
179	442	2013
180	443	2005
181	445	2003
182	447	1996
183	448	1989
184	450	1982
185	451	1976
186	452	1969
187	454	1961
188	455	1954
189	456	1946
190	457	1938
191	458	1931
192	460	1925
193	462	1921
194	463	1914
195	465	1908
196	466	1901
197	468	1896
198	469	1889
199	470	1882
200	471	1875
201	472	1867
202	474	1861
203	476	1859
204	477	1852
205	478	1845
206	480	1839
207	481	1833
208	482	1827
209	483	1820
210	485	1814
211	487	1812
212	489	1809
213	492	1807
214	496	1813
215	498	1810
216	502	1812
217	505	1812
218	507	1808
219	508	1803
220	509	1797
221	511	1791
222	512	1785
223	514	1782
224	515	1775
225	516	1770
226	518	1765
227	519	1760
228	521	1754
229	522	1749
230	523	1744
231	525	1739
232	527	1734
233	528	1729
234	529	1724
235	530	1717
236	532	1715
237	533	1709
238	535	1703
239	536	1698
240	537	1693
241	539	1689
242	540	1683
243	541	1678
244	543	1674
245	545	1672
246	547	1667
247	549	1664
248	550	1660
249	551	1655
250	553	1650
251	553	1644
252	554	1638
253	556	1633
254	557	1628
255	558	1623
256	559	1618
257	561	1613
258	562	1610
259	564	1605
260	565	1600
261	566	1595
262	567	1590
263	568	1586
264	570	1582
265	571	1577
266	572	1572
267	574	1567
268	575	1563
269	576	1559
270	578	1555
271	579	1550
272	580	1545
273	581	1541
274	582	1536
275	583	1531
276	584	1526
277	586	1522
278	587	1518
279	588	1514
280	590	1510
281	591	1505
282	592	1501
283	593	1497
284	595	1492
285	596	1488
286	597	1484
287	598	1480
288	599	1476
289	601	1471
290	602	1467
291	603	1462
292	604	1458
293	606	1455
294	607	1451
295	608	1447
296	609	1442
297	610	1438
298	611	1434
299	612	1430
300	614	1426
301	615	1422
302	616	1418
303	617	1414
304	619	1410
305	620	1406
306	621	1403
307	622	1399
308	623	1394
309	624	1390
310	626	1387
311	627	1383
312	628	1379
313	629	1375
314	630	1371
315	631	1367
316	633	1364
317	634	1360
318	635	1357
319	636	1353
320	638	1349
321	639	1346
322	640	1342
323	641	1338
324	642	1334
325	643	1331
326	645	1327
327	646	1323
328	647	1320
329	648	1317
330	650	1314
331	651	1310
332	652	1307
333	654	1305
334	655	1301
335	657	1298
336	658	1295
337	659	1291
338	661	1288
339	662	1285
340	663	1282
341	665	1279
342	667	1277
343	669	1275
344	670	1273
345	671	1269
346	672	1266
347	674	1262
348	675	1259
349	676	1255
350	677	1252
351	678	1249
352	680	1246
353	681	1243
354	682	1239
355	683	1236
356	684	1233
357	685	1230
358	687	1226
359	688	1223
360	689	1220
361	690	1217
362	691	1213
363	692	1210
364	694	1207
365	694	1203
366	696	1200
367	697	1197
368	698	1194
369	699	1191
370	700	1188
371	702	1185
372	703	1182
373	704	1179
374	705	1176
375	706	1173
376	708	1170
377	709	1167
378	710	1163
379	711	1160
380	712	1157
381	713	1154
382	714	1151
383	715	1148
384	717	1145
385	718	1143
386	719	1140
387	721	1137
388	722	1134
389	723	1132
390	725	1129
391	726	1127
392	727	1124
393	729	1121
394	730	1119
395	732	1116
396	733	1113
397	734	1111
398	736	1108
399	737	1105
400	738	1103
401	739	1100
402	740	1097
403	742	1095
404	743	1092
405	744	1089
406	745	1086
407	747	1084
408	748	1081
409	749	1079
410	750	1076
411	752	1073
412	753	1071
413	754	1068
414	756	1065
415	757	1063
416	758	1060
417	759	1057
418	761	1055
419	762	1052
420	763	1050
421	765	1047
422	766	1045
423	767	1042
424	768	1039
425	769	1037
426	771	1034
427	772	1032
428	773	1029
429	774	1026
430	776	1024
431	777	1022
432	779	1020
433	780	1018
434	781	1015
435	783	1013
436	784	1010
437	785	1008
438	787	1005
439	788	1003
440	790	1001
441	791	999
442	793	997
443	794	994
444	795	991
445	796	989
446	797	986
447	799	984
448	800	982
449	801	979
450	802	976
451	804	974
452	805	972
453	806	969
454	807	967
455	808	964
456	810	962
457	811	960
458	812	957
459	813	955
460	814	952
461	816	950
462	817	948
463	818	945
464	819	943
465	821	941
466	822	938
467	823	936
468	825	934
469	826	931
470	827	929
471	828	926
472	829	924
473	831	922
474	832	920
475	834	918
476	835	915
477	836	913
478	837	911
479	838	908
480	839	906
481	841	903
482	842	901
483	843	899
484	845	897
485	846	895
486	848	893
487	849	891
488	850	888
489	852	886
490	853	884
491	854	882
492	856	880
493	857	878
494	859	876
495	860	874
496	862	872
497	863	870
498	864	868
499	866	866
500	867	863
501	868	861
502	870	859
503	871	857
504	872	855
505	874	853
506	875	851
507	876	849
508	878	847
509	880	845
510	881	843
511	883	841
512	884	839
513	885	837
514	886	835
515	888	832
516	889	830
517	890	828
518	891	826
519	893	824
520	894	822
521	895	820
522	897	818
523	898	815
524	899	813
525	900	811
526	901	809
527	903	807
528	905	805
529	906	803
530	907	801
531	908	799
532	910	797
533	911	795
534	912	792
535	913	790
536	914	788
537	915	786
538	916	783
539	917	781
540	919	779
541	920	777
542	921	775
543	922	773
544	923	770
545	924	768
546	925	766
547	926	763
548	927	761
549	928	759
550	929	757
551	930	755
552	931	753
553	932	750
554	933	748
555	934	746
556	935	744
557	937	742
558	938	740
559	939	738
560	940	736
561	942	734
562	943	732
563	944	729
564	945	727
565	946	726
566	948	723
567	949	721
568	950	719
569	951	717
570	952	715
571	953	713
572	954	711
573	956	709
574	957	707
575	958	705
576	959	703
577	960	701
578	961	699
579	962	697
580	963	694
581	964	692
582	965	690
583	967	688
584	968	686
585	969	684
586	970	682
587	971	680
588	972	678
589	973	676
590	973	674
591	974	671
592	975	669
593	976	667
594	977	665
595	978	663
596	979	661
597	980	659
598	981	657
599	983	655
600	984	653
601	985	651
602	986	649
603	987	647
604	988	645
605	989	643
606	990	641
607	991	639
608	993	637
609	994	635
610	995	633
611	996	631
612	997	629
613	998	628
614	999	625
615	1000	623
616	1001	621
617	1002	619
618	1003	617
619	1005	615
620	1006	614
621	1007	612
622	1008	610
623	1009	608
624	1011	606
625	1012	604
626	1012	602
627	1013	600
628	1014	598
629	1015	596
630	1016	594
631	1017	592
632	1018	590
633	1019	588
634	1020	586
635	1022	585
636	1023	583
637	1024	581
638	1025	579
639	1027	577
640	1028	575
641	1029	573
642	1030	572
643	1031	570
644	1032	568
645	1033	566
646	1034	564
647	1035	562
648	1036	560
649	1037	558
650	1039	557
651	1040	555
652	1041	553
653	1042	551
654	1043	549
655	1044	547
656	1045	545
657	1045	543
658	1046	541
659	1048	539
660	1049	538
661	1050	536
662	1051	534
663	1052	532
664	1054	531
665	1055	529
666	1056	527
667	1057	525
668	1057	523
669	1058	521
670	1059	519
671	1060	517
672	1062	516
673	1063	514
674	1064	512
675	1065	510
676	1066	508
677	1067	507
678	1069	505
679	1070	503
680	1071	501
681	1072	499
682	1073	498
683	1073	496
684	1074	494
685	1075	492
686	1076	490
687	1077	488
688	1079	487
689	1080	485
690	1081	483
691	1083	482
692	1084	480
693	1085	478
694	1086	476
695	1087	475
696	1088	473
697	1089	471
698	1090	469
699	1091	467
700	1092	466
701	1093	464
702	1094	462
703	1095	460
704	1096	458
705	1097	456
706	1098	455
707	1099	453
708	1100	451
709	1101	449
710	1102	448
711	1103	446
712	1104	444
713	1106	443
714	1107	441
715	1108	439
716	1109	437
717	1110	436
718	1111	434
719	1112	432
720	1113	431
721	1114	429
722	1115	427
723	1116	425
724	1118	424
725	1118	422
726	1119	420
727	1120	418
728	1121	417
729	1122	415
730	1123	413
731	1124	411
732	1125	410
733	1126	408
734	1127	406
735	1128	404
736	1129	403
737	1130	401
738	1131	399
739	1133	398
740	1134	396
741	1135	394
742	1136	393
743	1137	391
744	1138	389
745	1139	387
746	1140	386
747	1141	384
748	1142	382
749	1143	381
750	1144	379
751	1145	377
752	1146	376
753	1147	374
754	1148	372
755	1149	370
756	1150	369
757	1151	367
758	1152	365
759	1153	364
760	1154	362
761	1155	360
762	1156	359
763	1157	357
764	1158	355
765	1159	354
766	1160	352
767	1161	350
768	1162	349
769	1163	347
770	1164	345
771	1165	344
772	1166	342
773	1167	340
774	1168	339
775	1169	337
776	1170	335
777	1171	334
778	1172	332
779	1173	330
780	1174	329
781	1176	327
782	1177	326
783	1178	324
784	1178	322
785	1179	321
786	1181	319
787	1181	317
788	1183	316
789	1184	314
790	1185	313
791	1186	311
792	1187	309
793	1188	308
794	1189	306
795	1190	305
796	1191	303
797	1192	301
798	1192	300
799	1194	298
800	1195	297
801	1196	295
802	1197	293
803	1198	292
804	1199	290
805	1200	288
806	1201	287
807	1203	285
808	1204	284
809	1205	282
810	1206	281
811	1207	279
812	1208	278
813	1209	276
814	1210	274
815	1211	273
816	1212	271
817	1214	270
818	1215	268
819	1216	267
820	1217	265
821	1219	264
822	1220	262
823	1221	260
824	1223	259
825	1224	257
826	1226	256
827	1227	254
828	1228	253
829	1229	251
830	1230	250
831	1231	248
832	1232	247
833	1233	245
834	1234	243
835	1235	242
836	1236	240
837	1237	239
838	1238	237
839	1239	236
840	1240	234
841	1241	232
842	1242	231
843	1243	229
844	1244	228
845	1245	226
846	1246	225
847	1247	223
848	1248	222
849	1249	220
850	1250	218
851	1251	217
852	1252	215
853	1253	214
854	1254	212
855	1255	211
856	1256	209
857	1258	208
858	1258	206
859	1259	205
860	1260	203
861	1261	201
862	1262	200
863	1264	198
864	1265	197
865	1265	195
866	1266	194
867	1267	192
868	1268	191
869	1269	189
870	1271	188
871	1272	186
872	1272	185
873	1273	183
874	1274	182
875	1276	180
876	1277	179
877	1278	177
878	1279	176
879	1279	174
880	1280	173
881	1281	171
882	1283	170
883	1284	168
884	1285	167
885	1286	165
886	1287	164
887	1288	162
888	1289	161
889	1290	159
890	1291	158
891	1292	156
892	1293	154
893	1294	153
894	1295	151
895	1296	150
896	1297	149
897	1298	147
898	1299	146
899	1300	144
900	1301	143
901	1302	141
902	1303	140
903	1304	138
904	1305	137
905	1306	135
906	1307	134
907	1308	132
908	1309	131
909	1309	129
910	1310	128
911	1311	126
912	1312	125
913	1313	123
914	1314	122
915	1315	120
916	1316	119
917	1317	117
918	1318	116
919	1318	114
920	1319	113
921	1320	111
922	1321	110
923	1322	108
924	1323	107
925	1324	105
926	1325	104
927	1326	102
928	1327	101
929	1329	100
930	1330	98
931	1331	97
932	1332	95
933	1333	94
934	1333	92
935	1334	91
936	1335	89
937	1336	88
938	1337	86
939	1339	85
940	1340	84
941	1341	82
942	1342	81
943	1343	79
944	1344	78
945	1346	76
946	1347	75
947	1347	73
948	1348	72
949	1349	71
950	1350	69
951	1352	68
952	1353	66
953	1354	65
954	1355	63
955	1356	62
956	1357	61
957	1358	59
958	1359	58
959	1360	56
960	1361	55
961	1362	53
962	1362	52
963	1363	50
964	1364	49
965	1365	48
966	1366	46
967	1367	45
968	1368	43
969	1369	42
970	1370	40
971	1371	39
972	1372	38
973	1373	36
974	1374	35
975	1375	33
976	1376	32
977	1377	30
978	1378	29
979	1379	28
980	1380	26
981	1381	25
982	1382	23
983	1383	22
984	1384	21
985	1385	19
986	1386	18
987	1387	16
988	1388	15
989	1389	14
990	1390	12
991	1391	11
992	1392	9
993	1393	8
994	1394	7
995	1395	5
996	1396	4
997	1397	2
998	1398	1
999	1399	0
